Artist,Related Artists
Bea and her Business,
Marco Schuitmaker,"Donny Ponsen, Rutger van Barneveld, Robert Pater, Robert van Hemert, Diego Holzken, Zanger Alex, Sander Kwarten, Nelis Leeman, Leo Nardell, Rudy de Wit, Jaman, Dirk Meeldijk, Ferry de Lits, Wesley Ponsen, Henk Bernard, Frank Verkooyen, Wesly Bronkhorst, Frank Van Etten, Stef Ekkel, Willem Barth"
Kris Kross Amsterdam,"Maan, Davina Michelle, Suzan & Freek, $hirak, Trobi, Nielson, Kraantje Pappie, Bizzey, Dopebwoy, Idaly, Paul Sinha, Billy Dans, Sigourney K, Jonna Fraser, Boef, Zoë Tauran, Bilal Wahib, Donnie, FLEMMING, Snelle"
Donnie,"Shekinah Glory Ministry, Jonathan Nelson, Yolanda Adams, Byron Cage, Israel & New Breed, Fred Hammond, Kurt Carr, Smokie Norful, The Clark Sisters, Marvin Sapp, Donald Lawrence & The Tri-City Singers, James Fortune, Deitrick Haddon, Juanita Bynum, Maurette Brown Clark, Gods Property, Donald Lawrence, Hezekiah Walker, Tamela Mann, Kurt Carr & The Kurt Carr Singers"
Antoon,"Bilal Wahib, Turfy Gang, Paul Sinha, Billy Dans, Zoë Tauran, Sigourney K, Maan, Big2, Snelle, Trobi, FLEMMING, Kris Kross Amsterdam, Bankzitters, HockeyLoverz, Ronnie Flex, Kraantje Pappie, Pjotr, Danique, $hirak, Bizzey"
Bizzey,"Idaly, Famke Louise, Sevn Alias, Yung Felix, Broederliefde, $hirak, Jacin Trill, Boef, Jonna Fraser, Josylvio, Frenna, Leafs, Maan, Lil Kleine, Dopebwoy, Mula B, SBMG, Ronnie Flex, Bokoesam, The Partysquad"
Claude,"Maurice Ravel, Frédéric Chopin, Edvard Grieg, Antonín Dvořák, Johannes Brahms, Erik Satie, Antonio Vivaldi, Johann Sebastian Bach, Wolfgang Amadeus Mozart, Ottorino Respighi, Franz Schubert, George Gershwin, Robert Schumann, Georges Bizet, Franz Liszt, Ludwig van Beethoven, Sergei Rachmaninoff, Barber, Igor Stravinsky, Jean Sibelius"
Marshmello,"The Chainsmokers, Cheat Codes, Loud Luxury, Mike Perry, Gryffin, Martin Jensen, Jonas Blue, Kygo, benny blanco, Lost Kings, Matoma, ILLENIUM, Cash Cash, CVBZ, Sigala, NGHTMRE, Hailee Steinfeld, NOTD, Slushii, Galantis, ""Error fetching related artists for Roxy Dekker. Status code: 429"", ""Error occurred while searching for the artist Wesly Bronkhorst. Status code: 429"", ""Error occurred while searching for the artist Bankzitters. Status code: 429"", ""Error occurred while searching for the artist Jax Jones. Status code: 429"", ""Error occurred while searching for the artist FLEMMING. Status code: 429"", ""Error occurred while searching for the artist Turfy Gang. Status code: 429"", ""Error occurred while searching for the artist Snelle. Status code: 429"", ""Error occurred while searching for the artist Metejoor. Status code: 429"", ""Error occurred while searching for the artist Victor Thompson. Status code: 429"", ""Error occurred while searching for the artist Suzan & Freek. Status code: 429"", ""Error occurred while searching for the artist KM. Status code: 429"", ""Error fetching related artists for Nathan Dawe. Status code: 429"", ""Error occurred while searching for the artist Prabh Singh. Status code: 429"", ""Error occurred while searching for the artist Abdul Hannan. Status code: 429"", ""Error occurred while searching for the artist Rovalio. Status code: 429"", ""Error occurred while searching for the artist Talwiinder. Status code: 429"", ""Error occurred while searching for the artist Jung Kook. Status code: 429"", ""Error occurred while searching for the artist Aditya Rikhari. Status code: 429"", ""Error occurred while searching for the artist Faris Shafi. Status code: 429"""
Bir,"Young Money, Young Dro, B.G., Rocko, Rich Boy, Yung Joc, Lil Scrappy, David Banner, Big Tymers, U.S.D.A., Youngbloodz, Plies, Young Buck, Gorilla Zoe, Webbie, Dem Franchize Boyz, Bun B, Mike Jones, Boyz N Da Hood, Slim Thug"
Shae Gill,"Vishal Dadlani, Ali Sethi, Ali Zafar, Jasleen Royal, Benny Dayal, Babbulicious, Ayushmann Khurrana, Ritviz, Neeraj Shridhar, OAFF, Sunidhi Chauhan, Salim–Sulaiman, Harrdy Sandhu, Rekha Bhardwaj, Sohail Sen, Amit Trivedi, Maninder Buttar, Mika Singh, Neeti Mohan, Asim Azhar"
Tarna,"Big Boi Deep, Straight Bank, Sunny Malton, YXNG SXNGH, GVL KHAN, Keetview$, Bir, HRJXT, Sukha, Supreme Sidhu, Vsinghs, BK, NseeB, Shally Rehal, Intense, Wali Bakhat Warraich, Mohitveer, Signature By SB, thiarajxtt, Chani Nattan"
Guru Randhawa,"Harrdy Sandhu, Ammy Virk, Jasmine Sandlas, Millind Gaba, Ayushmann Khurrana, Tanishk Bagchi, Darshan Raval, Shivjot, Pav Dharia, Sunanda Sharma, Sukh-E Muzical Doctorz, Akull, Jassie Gill, Akhil, Tony Kakkar, Maninder Buttar, Aastha Gill, The PropheC, Mika Singh, Mankirt Aulakh"
Talha Anjum,"Young Stunners, Talhah Yunus, Jokhay, Rap Demon, Taimour Baig, aleemrk, Seedhe Maut, J Trix, Umair, Bella, JANI, Karma, JJ47, Qaab, yungsta, Rawal, Raga, Faris Shafi, Umer Anjum, Ikka"
BTS,"j-hope, V, RM, NCT 127, Eric Nam, SEVENTEEN, MONSTA X, Stray Kids, The Rose, GOT7, DAY6, NCT, THE BOYZ, MAMAMOO, TAEMIN, Agust D, WOODZ, TOMORROW X TOGETHER, Jung Kook, JIN"
Zeamsone,"Jan-Rapowanie, Guzior, Kartky, Sarius, 2K, Adi Nowak, Kuban, Otsochodzi, Young Igi, Kaz Bałagane, Malik Montana, Blacha 2115, TACONAFIDE, Quebonafide, Beteo, Gedz, Białas, Deemz, Taco Hemingway, Waima"
Kizo,"Żabson, Siles, Beteo, Beka KSH, Deemz, Filipek, Avi, Hodak, Ronnie Ferrari, Małach, Hinol Polska Wersja, Major SPZ, Miyo, Dj.Frodo, Szymi Szyms, Young Igi, Blacha 2115, Malik Montana, Białas, Otsochodzi"
Męskie Granie Orkiestra 2023,"Oskar Cyms, Mrozu, Igo, IGNACY, Vito Bambino, Daria Zawiałow, Maciej Orłoś, Męskie Granie Orkiestra 2021, Krzysztof Zalewski, bryska, BARANOVSKI, Tribbs, Julia Wieniawa, Zalia, Dawid Tyszkowski, Męskie Granie Orkiestra 2022, Michał Szczygieł, Męskie Granie Orkiestra, KIWI, Kaśka Sochacka"
Kacperczyk,"Szczyl, Fukaj, Lordofon, Solar, CatchUp, Jan-Rapowanie, Janusz Walczuk, GOMBAO 33, schafter, Hodak, Miętha, Meek, Oh Why?, Deemz, Lanek, Hubert., Adi Nowak, Kinny Zimmer, Otsochodzi, Beteo, Przyłu"
sanah,"Vito Bambino, bryska, Dawid Podsiadło, Daria Zawiałow, Sylwia Grzeszczak, Męskie Granie Orkiestra 2023, Kaśka Sochacka, Kwiat Jabłoni, Dawid Kwiatkowski, Smolasty, Sobel, Męskie Granie Orkiestra 2021, Ralph Kaminski, Mrozu, Julia Wieniawa, Ania Dąbrowska, Doda, Sarsa, Natalia Szroeder, Grzegorz Hyży"
Chivas,"Janusz Walczuk, Waima, Kinny Zimmer, Olszakumpel, Deemz, Fukaj, Trill Pem, Beteo, Zeamsone, Kuqe 2115, Szpaku, E V, Blacha 2115, Wac Toja, chillwagon, QueQuality, GOMBAO 33, Kronkel Dom, Young Igi, Miszel"
SB Maffija,"Białas, Kinny Zimmer, Fukaj, Young Igi, Deemz, Chivas, White 2115, 2115, Zeamsone, Żabson, Janusz Walczuk, Bedoes 2115, Otsochodzi, GOMBAO 33, chillwagon, Jan-Rapowanie, Waima, SKUTE BOBO, Oki, Kacperczyk, "
Cyrko,"Ola Olszewska, Marissa, Magda Bereda, Questy, Wiktoria Zwolińska, NEL, Julia Rocka, Kacper Blonsky, Dawid, Artysta, Nezznalek, TKM, MtZ, Kumi, Stan Zapalny, Roxie Węgiel, Lija, Marcin Czerwiński, Marcin Maciejczak, Oskar Cyms, obi"
Daria Zawiałow,"Piotr Zioła, Bitamina, Bovska, Julia Wieniawa, Kortez, The Dumplings, Organek, Sonbird, Mery Spolsky, Kasia Lins, Julia Pietrucha, Męskie Granie Orkiestra 2018, Patrick the Pan, BARANOVSKI, Męskie Granie Orkiestra, Lor, BOKKA, Kaśka Sochacka, Artur Rojek, Domowe Melodie"
Szpaku,"Kubi Producent, Wac Toja, Deemz, 2K, Beteo, Gedz, Trill Pem, Solar, Janusz Walczuk, QueQuality, 27.Fuckdemons, Przyłu, Opał, Kuqe 2115, Filipek, M0LLY, RIP SCOTTY, Olszakumpel, PlanBe, Moli"
Przemek.pro,"Mortal, Fausti, GENZIE, FRIZ, Kacper Blonsky, Qry, Ekipa, Godface Killa, Team X, GOMBAO 33, Dawid, Artysta, Kuqe 2115, Kumi, Natsu World, Julia Żugaj, Cyrko, Pappaisjappa, Wac Toja, Janusz Walczuk, Kronkel Dom"
Fukaj,"Janusz Walczuk, GOMBAO 33, Lanek, Solar, Hodak, Beteo, CatchUp, Olszakumpel, Kubi Producent, WoLa, Trill Pem, Moli, Deemz, Kacperczyk, Szczyl, Waima, schafter, Hubert., Szymi Szyms, Jan-Rapowanie"
FAST BOY,"Goodboys, A7S, Toby Romeo, twocolors, Glockenbach, Topic, David Puentez, Henri PFR, Jonasu, Siks, Felix Jaehn, LIZOT, KAMRAD, Dastic, OBS, Alle Farben, RudeLies, Keanu Silva, Mike Williams, Ofenbach"
Tribbs,"Daria Marx, Oskar Cyms, Kubańczyk, Olivia Addams, Dawid, Artysta, Dr. SWAG, bryska, Michał Szczygieł, Skolim, Smolasty, Marcin Czerwiński, Doda, Łobuzy, VAMERO, TKM, Gromee, Szumek, DiscoBoys, MiłyPan, IGNACY"
White 2115,"Kinny Zimmer, Deemz, Young Igi, Chivas, Bedoes 2115, Blacha 2115, Białas, 2115, chillwagon, Żabson, Wac Toja, SKUTE BOBO, Zeamsone, SB Maffija, Janusz Walczuk, Fukaj, Waima, Trill Pem, Kabe, GOMBAO 33"
Dawid Podsiadło,"Męskie Granie Orkiestra, Kortez, Organek, Piotr Zioła, Bitamina, Daria Zawiałow, Domowe Melodie, The Dumplings, Artur Rojek, Męskie Granie Orkiestra 2018, Fisz Emade Tworzywo, Julia Wieniawa, BARANOVSKI, Brodka, Krzysztof Zalewski, SKUBAS, Natalia Przybysz, Mrozu, Grzegorz Hyży, Ania Dąbrowska"
Smolasty,"Blacha 2115, Young Igi, Deemz, Michał Szczygieł, Malik Montana, Dawid Kwiatkowski, Tribbs, Dawid, Artysta, Wac Toja, TKM, PlanBe, Kubańczyk, Mr. Polska, Kacper Blonsky, Beteo, Favst, Sobel, Cyrko, QueQuality, Doda"
Malik Montana,"Young Igi, Kaz Bałagane, Guzior, Jan-Rapowanie, Zeamsone, Blacha 2115, Otsochodzi, 2K, Rogal DDL, Deemz, Kuban, Sarius, PRO8L3M, Taco Hemingway, Quebonafide, Bonus RPK, Białas, TACONAFIDE, Kartky, Teabe"
Guzior,"Sarius, 2K, Jan-Rapowanie, Zeamsone, Kartky, Kaz Bałagane, Otsochodzi, Kuban, Quebonafide, Young Igi, Adi Nowak, Malik Montana, TACONAFIDE, Blacha 2115, PRO8L3M, Taco Hemingway, Gedz, KęKę, Białas, Eripe"
GENZIE,"Mortal, Fausti, Julia Żugaj, Team X, Przemek.pro, Dominik Rupiński, Natsu World, FRIZ, Kacper Blonsky, Ekipa, reZi, WERSOW, Cyrko, Godface Killa, Palion, Julia Rocka, Dawid, Artysta, Fagata, Patrycja Mołczanow, stickxr"
Kuban,"Sarius, Guzior, 2K, Kartky, Quebonafide, Zeamsone, Kaz Bałagane, Otsochodzi, KęKę, Adi Nowak, TACONAFIDE, Jan-Rapowanie, PRO8L3M, Taco Hemingway, Dwa Sławy, Gedz, Bonson, Eripe, Białas, Young Igi"
Dobry Dzieciak,"Flory, Nestee, WoLa, GOMBAO 33, Szczepan, FUNDACJA 420, Tyron37, Kuqe 2115, Sebol, Janusz Walczuk, Pappaisjappa, Beteo, Tadeo, Nypel, Waima, Kubi Producent, Fukaj, Moli, Lanek, Chłopiec"
Roxie Węgiel,"Roksana Węgiel, Ola Olszewska, Wiktoria Zwolińska, NEL, Stan Zapalny, Marcin Maciejczak, Mateusz Gędek, Viki Gabor, Sara James, Nezznalek, Marissa, AniKa Dąbrowska, SaMa, Magda Bereda, Verde, Oliver Gigon, Frank Leen, Oskar Cyms, Julia Rocka, IGNACY"
club2020,"Otsochodzi, GOMBAO 33, schafter, Janusz Walczuk, Fukaj, Young Igi, Kaz Bałagane, Kuban, Kronkel Dom, Hodak, Kinny Zimmer, Zeamsone, Deemz, Louis Villain, Kacperczyk, Białas, Oki, Diho, Kuqe 2115, Waima"
Yung Adisz,"Aleshen, yung adisz fan, vkie, Ozzy Baby, Pako, Young Kai, White Widow, szamz, Rusina, Pikers, matiskater, GUGU GANG, Koneser, TWR aka Król Podziemia, Belmondawg, Asster, Belmondo, Mlody Korden, Chłopiec, Fekir"
Dawid Narożny,"Shantel, BASTA, Nokaut, Freaky Boys, Menelaos, Red Queen, Fair Play, Swinger, Topky, Szpilki, Spontan, Quest, Vivat, Marcin Kłosowski, Agbe, Klaudia Zielińska, Energy Girls, Fisher, Marcin Czerwiński, Denis Impulsywni"
Lana Del Rey,"MARINA, Cults, Lykke Li, TV Girl, Suki Waterhouse, The Neighbourhood, Mitski, Azealia Banks, Grimes, girl in red, Faye Webster, Phoebe Bridgers, Lorde, Clairo, Ethel Cain, Cigarettes After Sex, Montell Fish, Gracie Abrams, Melanie Martinez, Isabel LaRosa"
Måneskin,"Mahmood, Palaye Royale, Fedez, Jann, Tananai, Madame, sangiovanni, Elodie, Achille Lauro, Negramaro, Irama, Pinguini Tattici Nucleari, Annalisa, Elisa, YUNGBLUD, Marco Mengoni, Fulminacci, Cesare Cremonini, Caparezza, BLANCO"
Miszel,"Francuz Mordo, Kabe, Baba Hassan, Alberto, Kronkel Dom, Asster, QueQuality, Waima, Alan, Olszakumpel, Trill Pem, Bibič, Wac Toja, Cinek, White Widow, M0LLY, chillwagon, Diho, Janusz Walczuk, Deemz, ""Error occurred while searching for the artist Oki. Status code: 429"", ""Error occurred while searching for the artist Dawid Kwiatkowski. Status code: 429"", ""Error occurred while searching for the artist Jimin. Status code: 429"", ""Error occurred while searching for the artist Kodak Black. Status code: 429"", ""Error occurred while searching for the artist Lauv. Status code: 429"", ""Error occurred while searching for the artist aespa. Status code: 429"", ""Error fetching related artists for Lim Young Woong. Status code: 429"", ""Error occurred while searching for the artist KANGDANIEL. Status code: 429"", ""Error occurred while searching for the artist Agust D. Status code: 429"", ""Error occurred while searching for the artist V. Status code: 429"", ""Error occurred while searching for the artist Beenzino. Status code: 429"", ""Error fetching related artists for NMIXX. Status code: 429"", ""Error fetching related artists for TAEYANG. Status code: 429"""
SEVENTEEN,"NCT 127, DAY6, NCT, NCT DREAM, MONSTA X, PENTAGON, THE BOYZ, NCT U, GOT7, Stray Kids, SF9, The Rose, TAEMIN, A.C.E, VICTON, WINNER, Eric Nam, Wanna One, N.Flying, EXO-CBX"
Halsey,"Camila Cabello, Julia Michaels, Hailee Steinfeld, Fifth Harmony, Bea Miller, Ellise, Alessia Cara, Hayley Kiyoko, Charlotte Lawrence, Hey Violet, Tove Lo, Demi Lovato, Maggie Lindemann, Bebe Rexha, Melanie Martinez, Selena Gomez, Ellie Goulding, FLETCHER, Gabbie Hanna, Daya"
Tyler ICU,"Myztro, Mellow & Sleazy, Shaunmusiq, Soa Mattrix, Ice Beats Slide, Sam Deep, Mr JazziQ, Felo Le Tee, DBN Gogo, Pcee, Busta 929, Konke, Aymos, DJ Stokie, Focalistic, Lebza TheVillain, Daliwonga, Mas Musiq, Young Stunna, DJ Maphorisa"
De Mthuda,"Sam Deep, Soa Mattrix, DJ Stokie, Gaba Cannal, Njelic, Busta 929, Josiah De Disciple, Mick Man, Mr JazziQ, Mas Musiq, Amu Classic, Babalwa M, MaWhoo, Artwork Sounds, Aymos, Mellow & Sleazy, Oscar Mbo, Young Stunna, Russell Zuma, Mfr Souls"
Mas Musiq,"Aymos, Soa Mattrix, Sam Deep, De Mthuda, Daliwonga, DJ Stokie, Gaba Cannal, Mr JazziQ, Busta 929, Mellow & Sleazy, Myztro, Tyler ICU, Young Stunna, DJ Maphorisa, Felo Le Tee, Josiah De Disciple, DBN Gogo, Musa Keys, Babalwa M, MaWhoo"
Lady Amar,"Murumba Pitch, Myztro, Tyler ICU, Mas Musiq, Sam Deep, Mellow & Sleazy, Aymos, De Mthuda, Da Muziqal Chef, Pcee, Soa Mattrix, DJ Maphorisa, Russell Zuma, Senior Oat, Wanitwa Mos, DJ Stokie, Balcony Mix Africa, Nomfundo Moh, Kabza De Small, Shaunmusiq"
Myztro,"Shaunmusiq, Ice Beats Slide, Pcee, Felo Le Tee, Mellow & Sleazy, Tyler ICU, Focalistic, Sam Deep, Mr JazziQ, Aymos, DBN Gogo, Konke, Soa Mattrix, Pabi Cooper, Busta 929, Daliwonga, TOSS, Dj Karri, Mas Musiq, Lebza TheVillain"
Sam Deep,"MaWhoo, Soa Mattrix, Gaba Cannal, Njelic, Mick Man, DJ Stokie, Babalwa M, Josiah De Disciple, Amu Classic, De Mthuda, Lebza TheVillain, Aymos, Konke, Dlala Regal, Kwiish SA, Mfr Souls, Shaunmusiq, Oscar Mbo, Artwork Sounds, Mr JazziQ"
Kabza De Small,"Sjava, DJ Maphorisa, Aymos, Mr JazziQ, King Monada, Mlindo The Vocalist, Gaba Cannal, Cassper Nyovest, Sun-El Musician, Prince Kaybee, Vusi Nova, Samthing Soweto, Major League Djz, Mobi Dixon, Riky Rick, Josiah De Disciple, Kaylow, Boohle, A-Reece, Mas Musiq, "
DJ Stokie,"Josiah De Disciple, Gaba Cannal, Mick Man, Njelic, Soa Mattrix, Mfr Souls, Sam Deep, MaWhoo, MDU aka TRP, Babalwa M, Kwiish SA, Amu Classic, Artwork Sounds, Lebza TheVillain, Boohle, De Mthuda, Oscar Mbo, Dlala Regal, Young Stunna, Tman Xpress"
Soa Mattrix,"Boohle, Mfr Souls, Gaba Cannal, Sam Deep, Emotionz DJ, Josiah De Disciple, DJ Stokie, Musa Keys, DBN Gogo, Njelic, Dlala Regal, Aymos, MDU aka TRP, Babalwa M, MaWhoo, Young Stunna, Major League Djz, Mr JazziQ, Lebza TheVillain, Busta 929"
2Point1,"Dr Nel, Paige, Lowsheen, DJ Tira, Ntate Stunna, Wave Rhyder, OSKIDO, Nozi, Rethabile Khumalo, Wanitwa Mos, Sdala B, DJ Call Me, Mukosi, Q Twins, Prince Benza, King Monada, Killorbeezbeatz, Dj Tpz, Cairo CPT, Malome Vector"
Kaylow,"Mobi Dixon, Presss, Sun-El Musician, Prince Kaybee, Nastee Nev, Riky Rick, Deep Sen, Vusi Nova, Moneoa, Sjava, Brazo Wa Afrika, Chymamusique, Naima Kay, Samthing Soweto, DJ Maphorisa, Cassper Nyovest, House Victimz, Zonke, Liquideep, Black Motion"
Inkabi Zezwe,"Big Zulu, Ntencane, Mnqobi Yazo, Mzukulu, Skweletu, Ugatsheni, ""Inkosyamagcokama"", Khuzani, Menzi, Zakwe, Limit, Intaba Yase Dubai, Udumakahle, Lwah Ndlunkulu, Nomfundo Moh, Saliwa, Sjava, Igcokama Elisha, Ithwasa Lekhansela, Falabo"
Shaunmusiq,"Ice Beats Slide, Konke, DrummeRTee924, Myztro, Dlala Regal, Dj Karri, uLazi, Officixl Rsa, Jay Music, UNLIMITED SOUL, DBN Gogo, Felo Le Tee, Mellow & Sleazy, TOSS, Focalistic, Mr JazziQ, Amu Classic, Njelic, Pabi Cooper, Sam Deep"
uLazi,"DrummeRTee924, Jay Music, Dlala Regal, UNLIMITED SOUL, Officixl Rsa, ""ZanTen"", Tman Xpress, MDU aka TRP, W4DE, Josiah De Disciple, ATK MusiQ, Ice Beats Slide, Sfarzo Rtee, Mick Man, Cyfred, Kweyama Brothers, Mcdeez Fboy, Dj Karri, Nkulee501, Freddy K"
Busta 929,"Reece Madlisa, DBN Gogo, Mr JazziQ, Soa Mattrix, Musa Keys, Felo Le Tee, Boohle, Major League Djz, Focalistic, Mfr Souls, Daliwonga, Young Stunna, Josiah De Disciple, Njelic, DJ Stokie, Mellow & Sleazy, Amu Classic, De Mthuda, Vigro Deep, Shaunmusiq"
Khanyisa,"Cyfred, Mfr Souls, Tee Jay, Dlala Regal, Boohle, Pabi Cooper, Kweyama Brothers, Dj Melzi, Emotionz DJ, Lebza TheVillain, DBN Gogo, Konke, TOSS, UNLIMITED SOUL, DrummeRTee924, Slade, Reece Madlisa, Sir Trill, Dj Karri, Tyler ICU"
Mellow & Sleazy,"Felo Le Tee, Mr JazziQ, Shaunmusiq, Focalistic, Myztro, Ice Beats Slide, DBN Gogo, Sam Deep, Pcee, Busta 929, Tyler ICU, Soa Mattrix, Amu Classic, Tman Xpress, Young Stunna, DJ Stokie, De Mthuda, Konke, Gaba Cannal, Mas Musiq"
Kelvin Momo,"Sam Deep, Babalwa M, Gaba Cannal, De Mthuda, DJ Stokie, Soa Mattrix, Russell Zuma, Mas Musiq, Oscar Mbo, Mick Man, Mr JazziQ, Mellow & Sleazy, Artwork Sounds, Murumba Pitch, Amu Classic, Josiah De Disciple, DJ Maphorisa, Blxckie, Tyler ICU, Aymos"
Aymos,"Mfr Souls, Mlindo The Vocalist, Mr JazziQ, Soa Mattrix, Sam Deep, Lebza TheVillain, Dlala Regal, Konke, Sha Sha, Major League Djz, Mas Musiq, OSKIDO, Boohle, Musa Keys, Gaba Cannal, Daliwonga, DBN Gogo, DJ Stokie, Josiah De Disciple, Young Stunna"
Uncle Waffles,"Felo Le Tee, DBN Gogo, Focalistic, Dj Karri, Shaunmusiq, Musa Keys, Mr JazziQ, Mellow & Sleazy, Konke, Ice Beats Slide, Busta 929, Myztro, Pcee, Tyler ICU, Pabi Cooper, UNLIMITED SOUL, KayGee DaKing, Vigro Deep, Soa Mattrix, Major League Djz"
Focalistic,"DBN Gogo, Mr JazziQ, Major League Djz, Felo Le Tee, Shaunmusiq, Mellow & Sleazy, Busta 929, Pabi Cooper, Myztro, Musa Keys, Vigro Deep, Daliwonga, Dj Karri, Reece Madlisa, Young Stunna, Soa Mattrix, Ice Beats Slide, KayGee DaKing, Tyler ICU, Konke"
Miguel,"dvsn, Majid Jordan, TWENTY88, Brent Faiyaz, Jhené Aiko, H.E.R., Ro James, Syd, Bryson Tiller, PARTYNEXTDOOR, Jeremih, Lloyd, SiR, Roy Woods, Trey Songz, Teyana Taylor, Jazmine Sullivan, Xavier Omär, The-Dream, Keyshia Cole"
Murumba Pitch,"Da Muziqal Chef, Balcony Mix Africa, DJ Stokie, Russell Zuma, Gaba Cannal, Sam Deep, OSKIDO, Nkosazana Daughter, MaWhoo, Lebza TheVillain, Artwork Sounds, Soa Mattrix, MÖRDA, Senior Oat, Aymos, Konke, Josiah De Disciple, Oscar Mbo, De Mthuda, Mas Musiq"
Loatinover Pounds,"Thato Saul, Jay Jody, Yung Tyran, Wordz, 25K, Dj Clen, Priddy Ugly, Tyson Sybateli, Maglera Doe Boy, MashBeatz, The Big Hash, DJ Sliqe, Die Mondez, Zoocci Coke Dope, FLVME, Marcus Harvey, Touchline, Shooterkhumz, Frank Casino, ZuluMecca"
Summer Walker,"H.E.R., Queen Naija, Ella Mai, Sabrina Claudio, Kiana Ledé, Kehlani, TWENTY88, UMI, DaniLeigh, Arin Ray, Sinéad Harnett, SiR, Mahalia, Snoh Aalegra, Janine, Ryan Trey, Teyana Taylor, Victoria Monét, Tone Stith, Sonder"
Sykes,"Matt Terry, Rixton, Austin Mahone, Liam Payne, Niall Horan, The Wanted, James Smith, Cody Simpson, The Vamps, Heffron Drive, Lawson, DNCE, JLS, Olly Murs, Conor Maynard, Ben Haenow, Jordan Fisher, Alex Aiono, Little Mix, HRVY"
Future,"2 Chainz, Young Thug, Meek Mill, Yo Gotti, Gucci Mane, Chief Keef, French Montana, DJ Drama, Lil Durk, Young Dolph, Migos, A$AP Ferg, Rick Ross, Gunna, Kodak Black, NAV, Quavo, YG, Young Nudy, Waka Flocka Flame"
Lwah Ndlunkulu,"Mduduzi Ncube, Q Twins, Big Zulu, Intaba Yase Dubai, Inkabi Nation, Mnqobi Yazo, Nomfundo Moh, Kelly Khumalo, Asanda Mkhize, Aubrey Qwana, Naima Kay, Nozi, Malome Vector, Zandie Khumalo, Mzukulu, Stabhilithi, Ugatsheni, Inkabi Zezwe, Khuzani, Ithwasa Lekhansela"
DJ Maphorisa,"Prince Kaybee, Cassper Nyovest, Sun-El Musician, Dladla Mshunqisi, Kabza De Small, Mobi Dixon, Lady Zamar, Heavy-K, Major League Djz, Mr JazziQ, Kwesta, Babes Wodumo, Distruction Boyz, Gaba Cannal, Shane Eagle, JazziDisciples, King Monada, Azana, DJ Sliqe, Riky Rick"
Burna Boy,"Wizkid, SPINALL, Juls, Runtown, Mr Eazi, Adekunle Gold, Davido, Patoranking, Korede Bello, Show Dem Camp, Mayorkun, Maleek Berry, Tekno, Falz, Joeboy, Ycee, Olamide, L.A.X, Wande Coal, Tiwa Savage"
Spirit Of Praise,"Lebo Sekgobela, Khaya Mthethwa, Mahalia Buchanan, Nqubeko Mbatha, Andile Ka Majola, Dumi Mkokstad, Betusile, Thinah Zungu, Kgotso, Sipho Ngwenya, Israel Mosehla, Vusi Nova, Worship House, Kholeka, ""Sfiso Ncwane"", Joyous Celebration, Hlengiwe Mhlaba, Mthunzi Namba, Sechaba, Benjamin Dube"
Pabi Cooper,"DBN Gogo, Cyfred, Focalistic, Konke, Shaunmusiq, Dlala Regal, Boohle, Reece Madlisa, Dj Karri, Musa Keys, Mfr Souls, Felo Le Tee, Soa Mattrix, Busta 929, Major League Djz, TOSS, Kamo Mphela, MaWhoo, Mr JazziQ, Kweyama Brothers"
Fantasia,"Melanie Fiona, Monica, KeKe Wyatt, Jazmine Sullivan, Kelly Price, Keyshia Cole, LeToya, Faith Evans, Nivea, Tamar Braxton, Marsha Ambrosius, K. Michelle, Chrisette Michele, Tamia, Tweet, Brandy, Lyfe Jennings, Mýa, Deborah Cox, Trina"
Elvirgo,"Salani The Producer, J JOHN THE BIG BABY, Dj Slikour, Dr Nel, DJ Nomza The King, Kharishma, XamaCcombo Wa Mhana Vafana, Benny Mayengani, MR POST, 071 NELLY THE MASTER BEAT, COOL B, Joe Shirimani Na Vana va Ndoda, Fortunator, Lil Meri, King Monada, Bad Company (SA), Joe Shirimani, Thomas Chauke, HENNY C, Sayicology"
Omar Montes,"Moncho Chavea, Galvan Real, Original Elias, Pedro el Flamenkito, Ocer y Rade, Maka, FERNANDOCOSTA, Dirty Porko, María Artés, Matasvandals, Recycled J, Delaossa, Petit Ribery, El Jincho, Zetazen, 31 FAM, Rasel, Nyno Vargas, Daviles de Novelda, Keen Levy"
Sebastian Yatra,"Manuel Turizo, CNCO, Mario Bautista, Greeicy, Danny Ocean, Nacho, Piso 21, Mike Bahía, Mau y Ricky, Sofía Reyes, Ventino, Morat, Luis Fonsi, NATTI NATASHA, Joey Montana, Dvicio, Chino & Nacho, Alkilados, Carlos Baute, Manuel Medrano"
Lola Indigo,"Belén Aguilera, Lérica, Vicco, Chanel, Ana Mena, DePol, Chema Rivas, Álvaro De Luna, Paula Koops, Ptazeta, Nil Moliner, Samuraï, Dani Fernández, MARLENA, zzoilo, Miki Núñez, Abraham Mateo, Pole., Danny Romero, Marc Seguí"
Maluma,"Reykon, J Balvin, Alkilados, Wolfine, Manuel Turizo, Chris Jedi, Greeicy, Ñejo & Dalmata, Rayo & Toby, Cali Y El Dandee, Piso 21, Nio Garcia, Sebastian Yatra, KEVIN ROLDAN, Ozuna, J Alvarez, Mau y Ricky, Danny Ocean, Dalmata, NATTI NATASHA"
